2025-04-28 at 11:05:25 | SUCCESS | [测试log] hello, world
2025-04-28 at 11:08:45 | DEBUG | {'event': 'message', 'task_id': '3a08a6f1-63cf-42d9-8358-8f9edd0afb02', 'id': '3c1f7b2b-4df0-4e6c-83a4-c7a983663f04', 'message_id': '3c1f7b2b-4df0-4e6c-83a4-c7a983663f04', 'conversation_id': '25de93d7-62ec-4256-a2f0-3363f787edba', 'mode': 'chat', 'answer': '您刚刚连续咳嗽了三次，要不要我为您查一下最近天气和空气质量？现在北京杨柳飞絮比较多，出门记得戴口罩哦。您要是感觉不舒服，跟我说说，我陪您去医院。', 'metadata': {'usage': {'prompt_tokens': 1053, 'prompt_unit_price': '0.01', 'prompt_price_unit': '0.001', 'prompt_price': '0.01053', 'completion_tokens': 95, 'completion_unit_price': '0.03', 'completion_price_unit': '0.001', 'completion_price': '0.00285', 'total_tokens': 1148, 'total_price': '0.01338', 'currency': 'USD', 'latency': 4.051789197023027}}, 'created_at': 1745809721}
2025-04-28 at 11:22:52 | DEBUG | <module 'chainlit.chat_settings' from '/Users/zhangjun/PycharmProjects/chainlitYY/.venv/lib/python3.10/site-packages/chainlit/chat_settings.py'>
2025-04-28 at 11:22:52 | DEBUG | [{'role': 'assistant', 'content': 'Hello world from Fly.io!'}, {'role': 'user', 'content': '发大是大非'}]
2025-04-28 at 11:22:52 | DEBUG | {'opening_statement': '刚才我好像听到了您咳嗽了好几次，是吗？', 'suggested_questions': [], 'suggested_questions_after_answer': {'enabled': True}, 'speech_to_text': {'enabled': False}, 'text_to_speech': {'enabled': False, 'voice': '', 'language': ''}, 'retriever_resource': {'enabled': False}, 'annotation_reply': {'enabled': False}, 'more_like_this': {'enabled': False}, 'user_input_form': [], 'sensitive_word_avoidance': {'enabled': False, 'type': '', 'configs': []}, 'file_upload': {'image': {'detail': 'high', 'enabled': False, 'number_limits': 3, 'transfer_methods': ['remote_url', 'local_file']}, 'enabled': False, 'allowed_file_types': [], 'allowed_file_extensions': ['.JPG', '.JPEG', '.PNG', '.GIF', '.WEBP', '.SVG', '.MP4', '.MOV', '.MPEG', '.MPGA'], 'allowed_file_upload_methods': ['remote_url', 'local_file'], 'number_limits': 3}, 'system_parameters': {'image_file_size_limit': 10, 'video_file_size_limit': 100, 'audio_file_size_limit': 50, 'file_size_limit': 15, 'workflow_file_upload_limit': 10}}
2025-04-28 at 11:22:52 | DEBUG | {'event': 'message', 'task_id': '4cbed38e-7516-496d-90dd-90be54ecd5b2', 'id': '4826f065-056b-45cd-ab22-50858426c0e3', 'message_id': '4826f065-056b-45cd-ab22-50858426c0e3', 'conversation_id': '4d244de3-9b1e-46a7-9ef1-5e71e4b7ea8d', 'mode': 'chat', 'answer': '您提到的“发大是大非”我没有完全理解，您是想表达“发生的事情大是大非”吗？或者您有其他的担忧和问题？请您详细描述一下，我好帮助您解决。您还在咳嗽吗？可能是空气质量或者飞絮影响了您的呼吸道。您多喝水，保持室内空气湿润，会有所帮助的。如果有需要，我可以帮您查更多信息或者陪您去看医生哦。', 'metadata': {'usage': {'prompt_tokens': 1055, 'prompt_unit_price': '0.01', 'prompt_price_unit': '0.001', 'prompt_price': '0.01055', 'completion_tokens': 164, 'completion_unit_price': '0.03', 'completion_price_unit': '0.001', 'completion_price': '0.00492', 'total_tokens': 1219, 'total_price': '0.01547', 'currency': 'USD', 'latency': 4.728054858976975}}, 'created_at': 1745810568}
2025-04-28 at 11:28:19 | DEBUG | <module 'chainlit.chat_settings' from '/Users/zhangjun/PycharmProjects/chainlitYY/.venv/lib/python3.10/site-packages/chainlit/chat_settings.py'>
2025-04-28 at 11:28:19 | DEBUG | [{'role': 'assistant', 'content': 'Hello world from Fly.io!'}, {'role': 'user', 'content': 'asdfasfd'}]
2025-04-28 at 11:28:19 | DEBUG | {'opening_statement': '刚才我好像听到了您咳嗽了好几次，是吗？', 'suggested_questions': [], 'suggested_questions_after_answer': {'enabled': True}, 'speech_to_text': {'enabled': False}, 'text_to_speech': {'enabled': False, 'voice': '', 'language': ''}, 'retriever_resource': {'enabled': False}, 'annotation_reply': {'enabled': False}, 'more_like_this': {'enabled': False}, 'user_input_form': [], 'sensitive_word_avoidance': {'enabled': False, 'type': '', 'configs': []}, 'file_upload': {'image': {'detail': 'high', 'enabled': False, 'number_limits': 3, 'transfer_methods': ['remote_url', 'local_file']}, 'enabled': False, 'allowed_file_types': [], 'allowed_file_extensions': ['.JPG', '.JPEG', '.PNG', '.GIF', '.WEBP', '.SVG', '.MP4', '.MOV', '.MPEG', '.MPGA'], 'allowed_file_upload_methods': ['remote_url', 'local_file'], 'number_limits': 3}, 'system_parameters': {'image_file_size_limit': 10, 'video_file_size_limit': 100, 'audio_file_size_limit': 50, 'file_size_limit': 15, 'workflow_file_upload_limit': 10}}
2025-04-28 at 11:28:19 | DEBUG | {'code': 'invalid_param', 'message': '123 is not a valid uuid.', 'params': 'conversation_id'}
2025-04-28 at 11:30:19 | DEBUG | <module 'chainlit.chat_settings' from '/Users/zhangjun/PycharmProjects/chainlitYY/.venv/lib/python3.10/site-packages/chainlit/chat_settings.py'>
2025-04-28 at 11:30:19 | DEBUG | [{'role': 'assistant', 'content': 'Hello world from Fly.io!'}, {'role': 'user', 'content': 'asdfasfd '}]
2025-04-28 at 11:31:11 | DEBUG | <module 'chainlit.chat_settings' from '/Users/zhangjun/PycharmProjects/chainlitYY/.venv/lib/python3.10/site-packages/chainlit/chat_settings.py'>
2025-04-28 at 11:31:11 | DEBUG | [{'role': 'assistant', 'content': 'Hello world from Fly.io!'}, {'role': 'user', 'content': 'fasdfasdf'}]
2025-04-28 at 11:31:11 | DEBUG | {'opening_statement': '刚才我好像听到了您咳嗽了好几次，是吗？', 'suggested_questions': [], 'suggested_questions_after_answer': {'enabled': True}, 'speech_to_text': {'enabled': False}, 'text_to_speech': {'enabled': False, 'voice': '', 'language': ''}, 'retriever_resource': {'enabled': False}, 'annotation_reply': {'enabled': False}, 'more_like_this': {'enabled': False}, 'user_input_form': [], 'sensitive_word_avoidance': {'enabled': False, 'type': '', 'configs': []}, 'file_upload': {'image': {'detail': 'high', 'enabled': False, 'number_limits': 3, 'transfer_methods': ['remote_url', 'local_file']}, 'enabled': False, 'allowed_file_types': [], 'allowed_file_extensions': ['.JPG', '.JPEG', '.PNG', '.GIF', '.WEBP', '.SVG', '.MP4', '.MOV', '.MPEG', '.MPGA'], 'allowed_file_upload_methods': ['remote_url', 'local_file'], 'number_limits': 3}, 'system_parameters': {'image_file_size_limit': 10, 'video_file_size_limit': 100, 'audio_file_size_limit': 50, 'file_size_limit': 15, 'workflow_file_upload_limit': 10}}
2025-04-28 at 11:31:11 | DEBUG | {'code': 'invalid_param', 'message': '123 is not a valid uuid.', 'params': 'conversation_id'}
2025-04-28 at 11:32:43 | DEBUG | <module 'chainlit.chat_settings' from '/Users/zhangjun/PycharmProjects/chainlitYY/.venv/lib/python3.10/site-packages/chainlit/chat_settings.py'>
2025-04-28 at 11:32:43 | DEBUG | [{'role': 'assistant', 'content': 'Hello world from Fly.io!'}, {'role': 'user', 'content': 'asdfasdf'}]
2025-04-28 at 11:32:43 | DEBUG | {'opening_statement': '刚才我好像听到了您咳嗽了好几次，是吗？', 'suggested_questions': [], 'suggested_questions_after_answer': {'enabled': True}, 'speech_to_text': {'enabled': False}, 'text_to_speech': {'enabled': False, 'voice': '', 'language': ''}, 'retriever_resource': {'enabled': False}, 'annotation_reply': {'enabled': False}, 'more_like_this': {'enabled': False}, 'user_input_form': [], 'sensitive_word_avoidance': {'enabled': False, 'type': '', 'configs': []}, 'file_upload': {'image': {'detail': 'high', 'enabled': False, 'number_limits': 3, 'transfer_methods': ['remote_url', 'local_file']}, 'enabled': False, 'allowed_file_types': [], 'allowed_file_extensions': ['.JPG', '.JPEG', '.PNG', '.GIF', '.WEBP', '.SVG', '.MP4', '.MOV', '.MPEG', '.MPGA'], 'allowed_file_upload_methods': ['remote_url', 'local_file'], 'number_limits': 3}, 'system_parameters': {'image_file_size_limit': 10, 'video_file_size_limit': 100, 'audio_file_size_limit': 50, 'file_size_limit': 15, 'workflow_file_upload_limit': 10}}
2025-04-28 at 11:32:43 | DEBUG | {'event': 'message', 'task_id': 'a0d25924-5820-46ae-90c3-b4e9a34bf160', 'id': 'd67996fb-24be-44a2-a9a4-66bde9f96112', 'message_id': 'd67996fb-24be-44a2-a9a4-66bde9f96112', 'conversation_id': '9e3fee40-d04b-4c48-963d-c1869662c4f2', 'mode': 'chat', 'answer': '您刚刚连续咳嗽了三次，要不要我为您查一下最近天气和空气质量？现在北京杨柳飞絮比较多，出门记得戴口罩哦。您要是感觉不舒服，跟我说说，我陪您去医院。', 'metadata': {'usage': {'prompt_tokens': 1052, 'prompt_unit_price': '0.01', 'prompt_price_unit': '0.001', 'prompt_price': '0.01052', 'completion_tokens': 95, 'completion_unit_price': '0.03', 'completion_price_unit': '0.001', 'completion_price': '0.00285', 'total_tokens': 1147, 'total_price': '0.01337', 'currency': 'USD', 'latency': 6.585288427013438}}, 'created_at': 1745811156}
2025-04-28 at 11:35:25 | DEBUG | <module 'chainlit.chat_settings' from '/Users/zhangjun/PycharmProjects/chainlitYY/.venv/lib/python3.10/site-packages/chainlit/chat_settings.py'>
2025-04-28 at 11:35:25 | DEBUG | [{'role': 'assistant', 'content': 'Hello world from Fly.io!'}, {'role': 'user', 'content': 'zxcvzxcv'}]
2025-04-28 at 11:35:25 | DEBUG | {'opening_statement': '刚才我好像听到了您咳嗽了好几次，是吗？', 'suggested_questions': [], 'suggested_questions_after_answer': {'enabled': True}, 'speech_to_text': {'enabled': False}, 'text_to_speech': {'enabled': False, 'voice': '', 'language': ''}, 'retriever_resource': {'enabled': False}, 'annotation_reply': {'enabled': False}, 'more_like_this': {'enabled': False}, 'user_input_form': [], 'sensitive_word_avoidance': {'enabled': False, 'type': '', 'configs': []}, 'file_upload': {'image': {'detail': 'high', 'enabled': False, 'number_limits': 3, 'transfer_methods': ['remote_url', 'local_file']}, 'enabled': False, 'allowed_file_types': [], 'allowed_file_extensions': ['.JPG', '.JPEG', '.PNG', '.GIF', '.WEBP', '.SVG', '.MP4', '.MOV', '.MPEG', '.MPGA'], 'allowed_file_upload_methods': ['remote_url', 'local_file'], 'number_limits': 3}, 'system_parameters': {'image_file_size_limit': 10, 'video_file_size_limit': 100, 'audio_file_size_limit': 50, 'file_size_limit': 15, 'workflow_file_upload_limit': 10}}
2025-04-28 at 11:35:25 | DEBUG | {'event': 'message', 'task_id': 'c80e73e1-36c4-4bd3-a195-86c155d65c54', 'id': '04a82f39-251d-4baf-ab7b-d825e425c382', 'message_id': '04a82f39-251d-4baf-ab7b-d825e425c382', 'conversation_id': '19a2ef21-8f65-4502-aa30-e8f394d4356c', 'mode': 'chat', 'answer': '看起来您可能不小心按错了键盘。请问您有什么需要帮助的，或者有什么想对我说的吗？我在这里随时准备帮助您。', 'metadata': {'usage': {'prompt_tokens': 1056, 'prompt_unit_price': '0.01', 'prompt_price_unit': '0.001', 'prompt_price': '0.01056', 'completion_tokens': 61, 'completion_unit_price': '0.03', 'completion_price_unit': '0.001', 'completion_price': '0.00183', 'total_tokens': 1117, 'total_price': '0.01239', 'currency': 'USD', 'latency': 3.503315181005746}}, 'created_at': 1745811322}
2025-04-28 at 11:35:25 | DEBUG | [conversations]
2025-04-28 at 11:36:54 | DEBUG | <module 'chainlit.chat_settings' from '/Users/zhangjun/PycharmProjects/chainlitYY/.venv/lib/python3.10/site-packages/chainlit/chat_settings.py'>
2025-04-28 at 11:36:54 | DEBUG | [{'role': 'assistant', 'content': 'Hello world from Fly.io!'}, {'role': 'user', 'content': 'asdfasdfasdf'}]
2025-04-28 at 11:36:54 | DEBUG | {'opening_statement': '刚才我好像听到了您咳嗽了好几次，是吗？', 'suggested_questions': [], 'suggested_questions_after_answer': {'enabled': True}, 'speech_to_text': {'enabled': False}, 'text_to_speech': {'enabled': False, 'voice': '', 'language': ''}, 'retriever_resource': {'enabled': False}, 'annotation_reply': {'enabled': False}, 'more_like_this': {'enabled': False}, 'user_input_form': [], 'sensitive_word_avoidance': {'enabled': False, 'type': '', 'configs': []}, 'file_upload': {'image': {'detail': 'high', 'enabled': False, 'number_limits': 3, 'transfer_methods': ['remote_url', 'local_file']}, 'enabled': False, 'allowed_file_types': [], 'allowed_file_extensions': ['.JPG', '.JPEG', '.PNG', '.GIF', '.WEBP', '.SVG', '.MP4', '.MOV', '.MPEG', '.MPGA'], 'allowed_file_upload_methods': ['remote_url', 'local_file'], 'number_limits': 3}, 'system_parameters': {'image_file_size_limit': 10, 'video_file_size_limit': 100, 'audio_file_size_limit': 50, 'file_size_limit': 15, 'workflow_file_upload_limit': 10}}
2025-04-28 at 11:36:54 | DEBUG | {'event': 'message', 'task_id': '8435a0f6-630a-448e-923f-f699d0befe26', 'id': '4e9c8a88-ac68-4510-bdfe-3d7a81b1aaea', 'message_id': '4e9c8a88-ac68-4510-bdfe-3d7a81b1aaea', 'conversation_id': '948f09b5-69ea-450a-a680-ec184bc011c7', 'mode': 'chat', 'answer': '您说的这几个字我没有理解，您是不是不小心按错了？或者有什么事情需要帮忙吗？请随时告诉我。', 'metadata': {'usage': {'prompt_tokens': 1053, 'prompt_unit_price': '0.01', 'prompt_price_unit': '0.001', 'prompt_price': '0.01053', 'completion_tokens': 50, 'completion_unit_price': '0.03', 'completion_price_unit': '0.001', 'completion_price': '0.0015', 'total_tokens': 1103, 'total_price': '0.01203', 'currency': 'USD', 'latency': 2.9838800539728254}}, 'created_at': 1745811411}
2025-04-28 at 11:36:54 | DEBUG | [conversations]
2025-04-28 at 11:37:23 | DEBUG | <module 'chainlit.chat_settings' from '/Users/zhangjun/PycharmProjects/chainlitYY/.venv/lib/python3.10/site-packages/chainlit/chat_settings.py'>
2025-04-28 at 11:37:23 | DEBUG | [{'role': 'assistant', 'content': 'Hello world from Fly.io!'}, {'role': 'user', 'content': 'asdfasdfasdf'}]
2025-04-28 at 11:37:23 | DEBUG | {'opening_statement': '刚才我好像听到了您咳嗽了好几次，是吗？', 'suggested_questions': [], 'suggested_questions_after_answer': {'enabled': True}, 'speech_to_text': {'enabled': False}, 'text_to_speech': {'enabled': False, 'voice': '', 'language': ''}, 'retriever_resource': {'enabled': False}, 'annotation_reply': {'enabled': False}, 'more_like_this': {'enabled': False}, 'user_input_form': [], 'sensitive_word_avoidance': {'enabled': False, 'type': '', 'configs': []}, 'file_upload': {'image': {'detail': 'high', 'enabled': False, 'number_limits': 3, 'transfer_methods': ['remote_url', 'local_file']}, 'enabled': False, 'allowed_file_types': [], 'allowed_file_extensions': ['.JPG', '.JPEG', '.PNG', '.GIF', '.WEBP', '.SVG', '.MP4', '.MOV', '.MPEG', '.MPGA'], 'allowed_file_upload_methods': ['remote_url', 'local_file'], 'number_limits': 3}, 'system_parameters': {'image_file_size_limit': 10, 'video_file_size_limit': 100, 'audio_file_size_limit': 50, 'file_size_limit': 15, 'workflow_file_upload_limit': 10}}
2025-04-28 at 11:37:23 | DEBUG | {'event': 'message', 'task_id': '451ef40f-236a-46be-86c1-1f58d6fbff08', 'id': '2ba00889-59d7-4552-ae49-0fec8e1a0a1f', 'message_id': '2ba00889-59d7-4552-ae49-0fec8e1a0a1f', 'conversation_id': '9f30a10e-6526-4eca-a2ec-fceea0c70ddf', 'mode': 'chat', 'answer': '您的回复似乎有些不清楚，不过没关系。您还有其他需要帮助的事情吗，比如关于您最近的咳嗽症状，或者您现在的感受？我在这里，随时准备帮助您。', 'metadata': {'usage': {'prompt_tokens': 1053, 'prompt_unit_price': '0.01', 'prompt_price_unit': '0.001', 'prompt_price': '0.01053', 'completion_tokens': 84, 'completion_unit_price': '0.03', 'completion_price_unit': '0.001', 'completion_price': '0.00252', 'total_tokens': 1137, 'total_price': '0.01305', 'currency': 'USD', 'latency': 3.0707476640236564}}, 'created_at': 1745811440}
2025-04-28 at 11:37:23 | DEBUG | [conversations]
2025-04-28 at 11:37:23 | DEBUG | {'limit': 20, 'has_more': True, 'data': [{'id': '9f30a10e-6526-4eca-a2ec-fceea0c70ddf', 'name': 'invalid input', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745811440, 'updated_at': 1745811440}, {'id': '948f09b5-69ea-450a-a680-ec184bc011c7', 'name': 'Confused input', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745811411, 'updated_at': 1745811411}, {'id': '19a2ef21-8f65-4502-aa30-e8f394d4356c', 'name': 'input not recognized', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745811322, 'updated_at': 1745811322}, {'id': '9e3fee40-d04b-4c48-963d-c1869662c4f2', 'name': 'New conversation', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745811156, 'updated_at': 1745811156}, {'id': '4d244de3-9b1e-46a7-9ef1-5e71e4b7ea8d', 'name': '探讨发展的是非', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745810568, 'updated_at': 1745810568}, {'id': '6d215f1e-33f5-4fc0-8f00-43cb3f1ad352', 'name': '提及发斯蒂芬', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745810535, 'updated_at': 1745810535}, {'id': '25de93d7-62ec-4256-a2f0-3363f787edba', 'name': 'Generic Inquiry', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745809721, 'updated_at': 1745809721}, {'id': '49d40a3a-8849-471c-810a-1bdc04162c0f', 'name': 'New conversation', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745809689, 'updated_at': 1745809689}, {'id': 'f5361df4-39ec-4184-8413-81d200b24906', 'name': 'New conversation', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745809594, 'updated_at': 1745809594}, {'id': '3ee6b778-e2c2-4ad8-93a7-8be04a91b321', 'name': '否定', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745768547, 'updated_at': 1745768547}, {'id': '4484f7e5-f37c-49d1-bd6c-44ad70ff4723', 'name': '询问发生了什么', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745768533, 'updated_at': 1745768533}, {'id': 'a2e500dc-f51d-4487-87b9-609ba6c1058d', 'name': '确认随时可以交流', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745768154, 'updated_at': 1745768154}, {'id': 'd30e75fe-0f7c-48f4-a672-366c56a6659c', 'name': '再测试', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745768141, 'updated_at': 1745768141}, {'id': 'b7993be4-739b-4b83-824d-bc13ab349a93', 'name': '拒绝加速', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745767850, 'updated_at': 1745767850}, {'id': 'f98d6bae-4dd1-44d8-ac93-6b17e4ddf868', 'name': 'New conversation', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745767839, 'updated_at': 1745767839}, {'id': 'fd0c203f-dd76-4b76-9802-d20795637619', 'name': 'New conversation', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745767768, 'updated_at': 1745767768}, {'id': '59c77ded-e0f1-46c7-b69f-4478ed8d03ac', 'name': '确认', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745767636, 'updated_at': 1745767636}, {'id': '9e97250d-e793-4075-a02f-20f8edcc319e', 'name': '询问饱和状态', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745767626, 'updated_at': 1745767626}, {'id': '855aba8f-0006-4a1d-9f36-25b394241dec', 'name': 'New conversation', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745767563, 'updated_at': 1745767563}, {'id': '6be9b7f1-9e66-485b-9daf-8696204ec877', 'name': 'New conversation', 'inputs': {}, 'status': 'normal', 'introduction': '刚才我好像听到了您咳嗽了好几次，是吗？', 'created_at': 1745767380, 'updated_at': 1745767380}]}
2025-04-28 at 17:29:05 | DEBUG | [{'role': 'system', 'content': '你是一位关心、耐心且善解人意的照护助手，有比较强的医疗数据分析能力，并且具有很强的心理分析能力，很擅长使用温暖，清晰简单的语言与用户沟通。在对话的过程中需要分析用户说话的情绪状态,并用简体中文回应，语气要温暖，使用清晰简单的语言，适合中老年人理解。请考虑他们的情绪状态来回应。'}, {'role': 'user', 'content': '你好呀'}]
